time,deviceName,accXRMS,accYRMS,accZRMS,temperature,humidity,bvoc,iaq,anomaly
2025-09-16 11:29:58,optaA,109.0,184.0,4132.0,44.629999999999995,72.15,0.71,79.0,-4919.0
2025-09-16 11:30:00,optaA,92.0,102.0,4020.0,44.620000000000005,72.18,0.72,81.0,-4877.0
2025-09-16 11:30:00,optaA,99.0,166.0,4148.0,44.620000000000005,72.18,0.72,81.0,-4874.0
2025-09-16 11:30:01,optaA,91.0,224.0,4178.0,44.620000000000005,72.18,0.72,81.0,-4960.0
2025-09-16 11:30:02,optaA,118.0,100.0,4026.0,44.620000000000005,72.18,0.71,79.0,-4875.0
2025-09-16 11:30:03,optaA,116.0,185.0,4129.0,44.620000000000005,72.18,0.71,79.0,-4885.0
2025-09-16 11:30:04,optaA,115.0,223.0,4174.0,44.620000000000005,72.18,0.71,79.0,-4901.0
2025-09-16 11:30:05,optaA,128.0,186.0,4105.0,44.620000000000005,72.18,0.71,79.0,-5036.0
2025-09-16 11:30:06,optaA,141.0,154.0,4068.0,44.620000000000005,72.18,0.71,79.0,-5056.0
2025-09-16 11:30:07,optaA,95.0,211.0,4181.0,44.620000000000005,72.18,0.71,79.0,-4834.0
2025-09-16 11:30:08,optaA,98.0,193.0,4126.0,44.620000000000005,72.18,0.71,79.0,-4913.0
2025-09-16 11:30:09,optaA,125.0,136.0,4057.0,44.629999999999995,72.15,0.72,80.0,-5002.0
2025-09-16 11:30:10,optaA,121.0,208.0,4157.0,44.629999999999995,72.15,0.72,80.0,-4970.0
2025-09-16 11:30:11,optaA,85.0,192.0,4128.0,44.629999999999995,72.15,0.72,80.0,-4902.0
2025-09-16 11:30:12,optaA,113.0,178.0,4075.0,44.629999999999995,72.16,0.72,81.0,-4975.0
2025-09-16 11:30:13,optaA,126.0,236.0,4223.0,44.629999999999995,72.16,0.72,81.0,-4964.0
2025-09-16 11:30:14,optaA,66.0,178.0,4112.0,44.629999999999995,72.16,0.72,81.0,-4824.0
2025-09-16 11:30:15,optaA,88.0,129.0,4025.0,44.629999999999995,72.16,0.72,82.0,-4888.0
2025-09-16 11:30:16,optaA,102.0,206.0,4177.0,44.629999999999995,72.16,0.72,82.0,-4832.0
